iter	Passed	Remaining
688	1699	767
689	1703	765
690	1706	762
691	1709	760
692	1711	758
693	1712	755
694	1714	752
695	1716	749
696	1721	748
697	1723	745
698	1725	743
699	1727	740
700	1738	741
701	1739	738
702	1740	735
703	1742	732
704	1744	729
705	1746	727
706	1747	724
707	1753	722
708	1754	720
709	1756	717
710	1757	714
711	1759	711
712	1760	708
713	1762	705
714	1771	706
715	1772	703
716	1774	700
717	1787	702
718	1789	699
719	1791	696
720	1793	693
721	1796	691
722	1799	689
723	1801	686
724	1802	683
725	1804	680
726	1806	678
727	1808	675
728	1811	673
729	1813	670
730	1815	668
731	1817	665
732	1818	662
733	1820	659
734	1821	656
735	1823	653
736	1840	656
737	1845	655
738	1847	652
739	1849	649
740	1851	647
741	1852	644
742	1854	641
743	1855	638
744	1860	636
745	1862	634
746	1863	631
747	1865	628
748	1866	625
749	1868	622
750	1869	619
751	1871	617
752	1875	615
753	1877	612
754	1884	611
755	1885	608
756	1891	607
757	1893	604
758	1894	601
759	1895	598
760	1897	595
761	1898	592
762	1899	590
763	1900	587
764	1902	584
765	1905	582
766	1907	579
767	1909	576
768	1910	573
769	1911	571
770	1913	568
771	1915	565
772	1916	562
773	1925	562
774	1927	559
775	1928	556
776	1930	553
777	1931	551
778	1932	548
779	1937	546
780	1939	543
781	1941	541
782	1943	538
783	1945	535
784	1947	533
785	1949	530
786	1954	528
787	1956	526
788	1957	523
789	1959	520
790	1962	518
791	1964	515
792	1968	513
793	1970	511
794	1972	508
795	1978	507
796	1980	504
797	1985	502
798	1987	499
799	1988	497
800	1990	494
801	1991	491
802	1992	488
803	1995	486
804	2000	484
805	2002	481
806	2003	479
807	2005	476
808	2006	473
809	2008	471
810	2009	468
811	2010	465
812	2016	463
813	2017	461
814	2018	458
815	2020	455
816	2021	452
817	2023	450
818	2024	447
819	2026	444
820	2030	442
821	2033	440
822	2034	437
823	2036	434
824	2037	432
825	2038	429
826	2040	426
827	2041	424
828	2045	421
829	2048	419
830	2050	416
831	2051	414
832	2052	411
833	2054	408
834	2055	406
835	2056	403
836	2060	401
837	2062	398
838	2064	396
839	2065	393
840	2067	390
841	2068	388
842	2069	385
843	2071	382
844	2072	380
845	2075	377
846	2077	375
847	2080	372
848	2081	370
849	2082	367
850	2084	364
851	2085	362
852	2086	359
853	2090	357
854	2094	355
855	2096	352
856	2097	349
857	2098	347
858	2100	344
859	2101	342
860	2106	340
861	2108	337
862	2109	334
863	2111	332
864	2112	329
865	2115	327
866	2116	324
867	2119	322
868	2121	319
869	2124	317
870	2126	314
871	2127	312
872	2129	309
873	2131	307
874	2132	304
875	2136	302
876	2139	300
877	2140	297
878	2142	294
879	2144	292
880	2145	289
881	2146	287
882	2147	284
883	2152	282
884	2154	279
885	2155	277
886	2157	274
887	2158	272
888	2159	269
889	2161	267
890	2162	264
891	2166	262
892	2168	259
893	2170	257
894	2171	254
895	2173	252
896	2174	249
897	2175	247
898	2177	244
899	2178	242
900	2181	239
901	2182	237
902	2183	234
903	2184	231
904	2185	229
905	2186	226
906	2187	224
907	2189	221
908	2190	219
909	2191	216
910	2195	214
911	2197	212
912	2198	209
913	2199	206
914	2200	204
915	2201	201
916	2202	199
917	2203	196
918	2205	194
919	2206	191
920	2210	189
921	2212	187
922	2213	184
923	2215	182
924	2216	179
925	2218	177
926	2219	174
927	2220	172
928	2223	169
929	2226	167
930	2228	165
931	2229	162
932	2230	160
933	2231	157
934	2233	155
935	2234	152
936	2235	150
937	2237	147
938	2241	145
939	2243	143
940	2244	140
941	2245	138
942	2246	135
943	2247	133
944	2249	130
945	2250	128
946	2252	126
947	2255	123
948	2257	121
949	2258	118
950	2259	116
951	2261	114
952	2262	111
953	2264	109
954	2265	106
955	2271	104
956	2272	102
957	2273	99
958	2275	97
959	2276	94
960	2277	92
961	2278	90
962	2279	87
963	2280	85
964	2282	82
965	2285	80
966	2287	78
967	2289	75
968	2290	73
969	2291	70
970	2293	68
